Num	Chromosome	Region	Strand	MappedChromosome	MappedRegion
607	A06	21434747..21809370	-	C03	48048763..49455027
608	A06	21700865..22237903	-	C03	28037437..29306466
609	A06	52274..449870	-	C03	20937524..21444509
860	A06	3199243..3502379	+	C04	7445597..7856297
861	A06	22176146..22399683	+	C04	10980911..12338467
862	A06	19595769..20022947	+	C04	24345875..25221187
1046	A06	4371111..5483120	+	C05	24736736..26272250
1047	A06	7132257..8760265	+	C05	14182880..16686824
1048	A06	22957638..23246524	+	C05	16699459..17177362
1049	A06	2798192..3179428	+	C05	27311956..28176500
1050	A06	20183979..20871755	+	C05	5034477..5678643
1051	A06	3801..670903	+	C05	28846885..29822095
1052	A06	688374..783068	+	C05	26134919..26306657
1056	A06	5682306..7133535	-	C05	5080555..8235689
1057	A06	784034..1403883	-	C05	2550053..3365448
1058	A06	3742347..4245057	-	C05	3354166..4241533
1059	A06	5409630..5770021	-	C05	13735892..14290867
1060	A06	14988295..15745139	-	C05	12309640..13400056
1061	A06	15001876..15946526	-	C05	8722467..10248806
1062	A06	22511901..22827920	-	C05	926300..1161081
1256	A06	18253952..20050081	+	C07	30958905..34514846
1257	A06	21638354..21893530	+	C07	24038371..25038387
1258	A06	17173858..17693116	+	C07	8935038..12457649
1259	A06	20959509..21411519	+	C07	38920392..39414838
1260	A06	22839581..23101718	+	C07	26942510..27723382
1261	A06	21537070..21936018	+	C07	41033300..41847384
1262	A06	23247913..24017975	+	C07	35885628..36777587
1272	A06	20059756..21626015	-	C07	27587084..30925263
1273	A06	11227872..12854052	-	C07	35067783..36747987
1274	A06	17891495..18311848	-	C07	34382947..34989793
1275	A06	22002507..22297299	-	C07	47954177..48344214
1276	A06	22378908..22584739	-	C07	3570..656878
1277	A06	1365935..1868667	-	C07	18654457..19888135
1278	A06	22833716..23016712	-	C07	41692325..41889572
1504	A06	1353642..1718711	+	C06	39658301..40659863
1505	A06	5409630..5991757	+	C06	3356231..4226535
1506	A06	3801..574469	+	C06	18377346..19096590
1507	A06	11139601..11221487	+	C06	27956532..28134287
1509	A06	23896164..24432131	+	C06	16953099..18049954
1513	A06	3801..586897	-	C06	19774483..20828181
1514	A06	2485865..2928710	-	C06	12189454..13193600
1515	A06	7544746..8749461	-	C06	1401118..2462610
1516	A06	7138737..8682838	-	C06	31472334..33155420
1517	A06	2237156..2472723	-	C06	24534286..25384509
1518	A06	2936495..3186475	-	C06	21597884..22377629
1519	A06	1723815..2068398	-	C06	25389765..26474856
1520	A06	484284..731154	-	C06	20779398..21575582
1521	A06	25442715..25752058	-	C06	16929995..17634919
1522	A06	6015575..6454817	-	C06	2001..759450
1523	A06	2569516..3157123	-	C06	10668773..11936054
1524	A06	14197191..14424383	-	C06	17699140..18049954
1525	A06	6015575..6768519	-	C06	29953865..31308146
1526	A06	2089488..2333122	-	C06	13067029..13694239
1527	A06	7132257..7545649	-	C06	2944597..3357686
1528	A06	484284..712796	-	C06	9674200..10608602
1730	A06	5500476..7111751	+	C08	36615473..37870754
1731	A06	4371111..5483120	+	C08	38746165..39767403
1732	A06	602720..1343634	+	C08	39697720..40164527
1733	A06	3956195..4559183	+	C08	18341245..19015662
1734	A06	10462204..11083248	+	C08	23820989..24818679
1735	A06	7132257..7563425	+	C08	20809174..21268736
1736	A06	3515842..3902162	+	C08	37871159..38224240
1737	A06	8232565..8682838	+	C08	21556685..21922281
1738	A06	934455..1333461	+	C08	1001840..1355506
1739	A06	1419335..2039096	+	C08	7908132..10406090
1740	A06	11383399..12105276	+	C08	24140085..24827599
1750	A06	23247913..24137203	-	C08	23621621..24827599
1751	A06	4798097..5709861	-	C08	16679118..18299207
1752	A06	6310932..7111751	-	C08	19267731..19907728
1753	A06	3903299..4626316	-	C08	38064110..38869519
1754	A06	746631..1074713	-	C08	16290549..17296760
1755	A06	5360999..5914406	-	C08	20493552..21006082
1756	A06	5938056..6191286	-	C08	19739236..20083108
1757	A06	7138737..7596044	-	C08	36203949..36558303
1758	A06	20004369..20866361	-	C08	37545175..38185802
1759	A06	7587745..8160779	-	C08	22001395..22464430
1760	A06	21898310..22239560	-	C08	35524864..36150382
1761	A06	3555487..3902162	-	C08	19030525..19267226
1762	A06	16982356..17156213	-	C08	23067..153211
1763	A06	3243118..3502379	-	C08	27929745..28179238
1995	A06	18736132..20022947	+	C09	1737464..2502086
1996	A06	11227872..12577616	+	C09	4093099..5022761
1997	A06	18253952..18747686	+	C09	10257755..11159595
2005	A06	12491617..13375905	-	C09	2886484..3724265
2006	A06	20429831..21105022	-	C09	8901913..9842684
2007	A06	21241153..21893530	-	C09	6451403..8499952
2008	A06	17506192..18311848	-	C09	2463814..2906100
2009	A06	12083982..12611013	-	C09	36182006..36862619
2010	A06	15834368..16274876	-	C09	37404289..37600680
137	A07	7171993..8259055	-	C01	25569123..27176068
138	A07	19562258..20177852	-	C01	792999..1596104
139	A07	22476799..23085816	-	C01	3326779..3653320
140	A07	2496379..2788098	-	C01	730131..1078284
313	A07	18015082..18615072	+	C02	12127295..13907861
314	A07	2964084..3895528	+	C02	18277712..20684858
315	A07	17658976..17895036	+	C02	11418207..12074809
318	A07	19094330..21003544	-	C02	14860422..19452577
319	A07	14932002..15997355	-	C02	14012380..18360402
320	A07	11187191..11559032	-	C02	2571819..3032427
321	A07	14297177..14912151	-	C02	18552559..20859108
322	A07	16284617..16834250	-	C02	11515988..13225160
323	A07	18621761..18955514	-	C02	19642748..20605956
324	A07	21175411..21350721	-	C02	13986519..14557392
325	A07	2312968..2771066	-	C02	42081440..42286250
326	A07	4956496..5424555	-	C02	11418207..12835805
327	A07	3862523..4242414	-	C02	14012380..15529190
328	A07	16236710..16595373	-	C02	13224027..13924116
329	A07	10622154..10879776	-	C02	38083350..38953030
619	A07	5548657..6795913	+	C03	43737169..45630753
620	A07	7171993..9662044	+	C03	25161742..27330783
621	A07	4445219..5071790	+	C03	39684679..40637539
622	A07	13108783..13420313	+	C03	12859374..13578639
633	A07	11310045..11557047	-	C03	1742316..1974904
634	A07	5070441..5356200	-	C03	43145314..43835034
871	A07	17630694..17994284	+	C04	10035600..10816426
872	A07	1081313..1368959	+	C04	15623758..16254189
873	A07	1863679..2108547	+	C04	10881455..11434055
874	A07	13108783..13367018	+	C04	1798402..3132955
875	A07	13532643..13812325	+	C04	14470782..15167070
876	A07	13108783..13363435	+	C04	39979238..40489850
877	A07	11495335..11726717	+	C04	4535069..5136293
888	A07	1081313..2011461	-	C04	30146190..32100648
889	A07	16478276..16882670	-	C04	10035600..10984000
890	A07	12345974..13023529	-	C04	8470673..10010034
891	A07	11887286..12372717	-	C04	21916455..24012368
892	A07	10184605..10503937	-	C04	24497050..25809518
893	A07	11095320..11327022	-	C04	7052180..7809098
1071	A07	2818606..3971187	+	C05	14919889..17732438
1072	A07	13627973..14298866	+	C05	5678233..6723753
1078	A07	18712280..20284130	-	C05	14069096..17459546
1079	A07	21964570..22663868	-	C05	5799169..6991595
1080	A07	14936235..15532429	-	C05	13416536..15205566
1081	A07	6157263..6827593	-	C05	10794425..12301290
1082	A07	14535688..14855933	-	C05	15948342..16898944
1287	A07	5314206..6728793	+	C07	16026183..18389706
1288	A07	2103175..2684817	+	C07	613462..1749656
1289	A07	5322137..5487311	+	C07	3869063..4234755
1295	A07	4019583..5324176	-	C07	20489907..23992051
1296	A07	8817891..9848845	-	C07	4303825..6881871
1297	A07	8160283..8603358	-	C07	2811326..3604441
1298	A07	2035..334393	-	C07	6843598..8042565
1299	A07	9958935..10170579	-	C07	10915768..11448269
1300	A07	18056589..18584987	-	C07	30490678..31914408
1301	A07	21052897..21505706	-	C07	23337504..24062700
1302	A07	10694268..10816874	-	C07	32489623..32815277
1303	A07	15808666..16061155	-	C07	23340838..24376324
1536	A07	18621761..19902363	+	C06	834731..2462610
1537	A07	14604452..15854962	+	C06	31422251..34532087
1538	A07	19901517..20748155	+	C06	2944597..4226535
1539	A07	18971103..21114345	+	C06	31382655..34740882
1540	A07	13749773..14414490	+	C06	29953865..31384453
1541	A07	13994362..14855933	+	C06	2912..1854112
1542	A07	21048330..21776423	+	C06	4204117..5347428
1543	A07	15112395..15692006	+	C06	2949082..4226535
1544	A07	12793004..13206139	+	C06	26903207..27957263
1545	A07	13299960..13738585	+	C06	15877177..16892368
1546	A07	15966226..16431508	+	C06	34591186..35824044
1547	A07	16190924..16729232	+	C06	7048411..8644772
1548	A07	17586735..17831758	+	C06	2414936..2930879
1549	A07	11564105..11788732	+	C06	15459907..16067330
1550	A07	21268315..21811860	+	C06	34565514..35214006
1551	A07	15873667..16191652	+	C06	4204117..5255742
1552	A07	14874245..15217639	+	C06	1974136..2504081
1553	A07	1105452..1988468	+	C06	5276247..6059252
1554	A07	12405701..12548345	+	C06	26516420..26876706
1561	A07	21902566..22533512	-	C06	2912..828996
1562	A07	17832928..18615072	-	C06	7194910..8644772
1563	A07	16888237..17496272	-	C06	8430786..9634181
1564	A07	21958866..22695233	-	C06	30006576..31362465
1565	A07	11797460..12053192	-	C06	28990094..29924973
1566	A07	12478787..12797086	-	C06	28471982..29201801
1567	A07	2964084..3685212	-	C06	1260104..2146377
1568	A07	18208020..18610771	-	C06	35241220..35824044
1569	A07	3621399..3895528	-	C06	766229..1182425
1570	A07	2853319..3685212	-	C06	31382655..32366610
1571	A07	16753986..16879618	-	C06	2474017..2930879
1767	A07	11564105..13909451	+	C08	28267724..33741580
1768	A07	19868826..20748155	+	C08	36209518..36957712
1769	A07	22141633..22616500	+	C08	37083395..37434005
1770	A07	3002685..3492742	+	C08	21174904..21922281
1771	A07	11095320..11246808	+	C08	27974011..28313221
1781	A07	7104809..7926793	-	C08	24836083..26584307
1782	A07	19796700..20253397	-	C08	20776468..21462696
1783	A07	7913038..8127560	-	C08	23286761..23767993
1784	A07	19066660..19427880	-	C08	21582862..22045991
1785	A07	2929002..3202660	-	C08	22001395..22274767
1786	A07	484167..932792	-	C08	35948770..36137305
1787	A07	4280295..4825190	-	C08	22435963..23078853
1788	A07	13917648..14210136	-	C08	37221854..37434005
1789	A07	2403189..2792103	-	C08	26701318..27521751
1790	A07	14669304..14997339	-	C08	21132379..22045991
1791	A07	15109307..15472586	-	C08	20615182..21266945
1792	A07	20329902..20625704	-	C08	20493552..20645666
2021	A07	11187191..11559032	+	C09	36545232..37535208
2022	A07	728035..929853	+	C09	20937150..21835170
2026	A07	2136384..2758745	-	C09	4799202..5538394
145	A08	4009191..4992264	+	C01	3592651..5859156
146	A08	9002105..9425418	+	C01	33839704..34694012
147	A08	5605880..5812689	+	C01	1523233..1877578
148	A08	9612744..10132177	+	C01	7240130..8141633
149	A08	11805231..12406486	+	C01	23308538..25154223
155	A08	5903069..6942262	-	C01	12363..1525787
156	A08	8419255..9414860	-	C01	1892437..3150322
157	A08	10118463..11165023	-	C01	5858746..7789285
158	A08	9489694..9890591	-	C01	8135442..9589744
159	A08	5356637..5796752	-	C01	10617318..11949007
160	A08	11805231..12107991	-	C01	18760638..19461552
161	A08	13825021..14008331	-	C01	3188926..3513016
162	A08	16000036..16754842	-	C01	30315377..31635754
163	A08	18329323..18868352	-	C01	34734589..35520786
164	A08	5172878..5285132	-	C01	12904339..13300717
165	A08	6690178..7084586	-	C01	1880451..2286263
336	A08	16667654..16939274	+	C02	21343047..21816552
340	A08	17402868..17543739	-	C02	33672465..34166490
341	A08	2334160..2866262	-	C02	16467816..18683313
342	A08	1852719..2272763	-	C02	18935599..20684858
343	A08	14019597..14119546	-	C02	4189202..4301536
344	A08	2894093..2988508	-	C02	15709090..16295226
642	A08	3909915..4704238	+	C03	53766885..55163450
643	A08	10330002..10904032	+	C03	47939840..49331226
644	A08	8051473..8271248	+	C03	43131775..43835034
645	A08	5593791..5779064	+	C03	49219578..49593817
655	A08	6070921..7919442	-	C03	43707783..47772126
656	A08	18333897..19451122	-	C03	55959697..57771693
657	A08	9489694..10333266	-	C03	49657081..51579430
658	A08	8412650..8739372	-	C03	52960962..53549739
659	A08	8265536..8415562	-	C03	40316727..40642783
660	A08	13662694..14013858	-	C03	53546488..54018579
661	A08	17334698..17650939	-	C03	56868535..57723745
662	A08	1339634..1531823	-	C03	39908906..40255278
901	A08	7124540..7836645	-	C04	20262307..21234643
902	A08	7210675..7674123	-	C04	35304399..35810059
903	A08	12360760..12980566	-	C04	27195450..28178715
1088	A08	538702..1190214	+	C05	1746482..3365448
1089	A08	80220..525459	+	C05	519329..1605156
1090	A08	7087384..7462123	+	C05	10837662..12301290
1091	A08	3455707..3775416	+	C05	3356198..3961539
1092	A08	3787381..3997755	+	C05	24991074..25298436
1098	A08	1888770..2871761	-	C05	13735892..17408196
1099	A08	2923556..3324860	-	C05	5045308..7128562
1100	A08	1164245..1333262	-	C05	25986305..26557796
1101	A08	18163486..18963138	-	C05	28778329..30025537
1102	A08	19114192..19422784	-	C05	27794702..28395975
1318	A08	8423071..8917377	+	C07	46392159..46839490
1319	A08	5605880..6406759	+	C07	47077689..47900089
1320	A08	1352945..1819653	+	C07	22323651..23977992
1321	A08	6522352..6978832	+	C07	47847748..48339061
1322	A08	8092286..8411463	+	C07	21135812..22250208
1332	A08	3942692..5662708	-	C07	43412797..46336729
1333	A08	7197110..8083264	-	C07	16026183..18389706
1334	A08	10118463..10877695	-	C07	41033300..41953599
1335	A08	7933460..8045821	-	C07	3929977..4248630
1336	A08	17645724..18077813	-	C07	38145839..38582460
1337	A08	9423462..9890591	-	C07	42089438..43067676
1338	A08	10930778..11398196	-	C07	38801162..39436283
1339	A08	17162643..17516368	-	C07	29516882..30058734
1340	A08	14969691..16168807	-	C07	18381853..20303400
1341	A08	5605880..5812689	-	C07	47045217..47255948
1578	A08	18160589..19427861	+	C06	19717869..22113791
1579	A08	1852719..2468415	+	C06	766229..2285457
1580	A08	2097326..2988508	+	C06	31441768..34193489
1581	A08	2515576..2988508	+	C06	2944597..4226535
1582	A08	11077112..11414470	+	C06	6047293..6949410
1583	A08	14543939..15962959	+	C06	37716436..40521319
1584	A08	18839420..19427861	+	C06	9661697..10953577
1588	A08	18107716..18939938	-	C06	18295989..19160557
1589	A08	16009009..16541549	-	C06	25389765..26455313
1590	A08	17091944..17330925	-	C06	12210815..12767750
1591	A08	17556791..17650939	-	C06	18377346..18635828
1592	A08	16542443..16751378	-	C06	13031381..13659263
1593	A08	1372976..1501237	-	C06	7100458..7559340
1804	A08	2502719..3989851	+	C08	36226173..39098816
1805	A08	979464..1333262	+	C08	16527338..17675778
1806	A08	15487254..16202645	+	C08	7806111..9363738
1807	A08	1396548..1687577	+	C08	22369977..23076627
1808	A08	2199566..2475933	+	C08	21790494..22274767
1809	A08	16167334..16590827	+	C08	236464..1086135
1810	A08	6058068..6989517	+	C08	34611666..35919966
1811	A08	14146545..14791826	+	C08	6744135..8108538
1812	A08	11523297..11790105	+	C08	9246560..10288098
1813	A08	13277829..13666196	+	C08	11325054..11908611
1816	A08	194760..1053784	-	C08	874736..3042680
1817	A08	2936949..3762777	-	C08	18308365..20158534
1818	A08	2498163..2926216	-	C08	20493552..21271335
1819	A08	4721046..5216348	-	C08	15368513..16443660
1820	A08	801767..1333262	-	C08	39643236..40235174
1821	A08	19249..746801	-	C08	40042962..41225687
1822	A08	17706913..18145104	-	C08	12701861..14052746
1823	A08	2109335..2411961	-	C08	21174904..21922281
1824	A08	12454006..13317026	-	C08	3329448..6326148
1825	A08	12172920..12416097	-	C08	12246730..12729550
1826	A08	5547979..5637983	-	C08	15154494..15369992
1827	A08	13399177..13807248	-	C08	11194305..12032976
2034	A08	14019597..14125821	+	C09	32039252..32217442
171	A09	15466454..16093472	+	C01	1201223..2104238
172	A09	14954195..15456043	+	C01	3269215..4168888
173	A09	4877426..5218269	+	C01	10858..244257
185	A09	32486284..33945408	-	C01	7437801..8994406
186	A09	30274059..31263929	-	C01	20274073..22464861
187	A09	26953886..27334179	-	C01	22479629..23538707
188	A09	18352965..18844269	-	C01	1185615..1891717
347	A09	9226386..9717946	+	C02	41656315..42286250
348	A09	25225860..26315966	+	C02	27941378..30732210
349	A09	3888857..4228443	+	C02	15034973..16741220
360	A09	28432281..29294698	-	C02	33488815..35657148
361	A09	6946405..7492294	-	C02	39294134..41209105
362	A09	6427668..6753438	-	C02	38362268..39458514
363	A09	8107708..8301994	-	C02	42486051..42780994
364	A09	29293814..29484145	-	C02	32417411..32858300
365	A09	32194386..32501234	-	C02	35985630..36823810
366	A09	28044249..28421932	-	C02	36343114..37070797
367	A09	7804229..7945669	-	C02	42997976..43522929
368	A09	29727598..30509924	-	C02	30451587..32001405
369	A09	5879720..6046943	-	C02	24013498..24479562
668	A09	33625351..34848967	+	C03	44558246..45782742
669	A09	13207547..14602505	+	C03	12208805..14010322
670	A09	32314017..33579708	+	C03	17185827..17873007
671	A09	21725957..22850054	+	C03	43718915..44761567
672	A09	5803134..6365205	+	C03	18363128..19130815
673	A09	10284578..11176845	+	C03	8884096..9884630
674	A09	20380492..21162092	+	C03	39908906..40648922
675	A09	4711174..5223726	+	C03	45874901..46866351
676	A09	11334128..12137436	+	C03	10502925..11177086
692	A09	5385057..5753806	-	C03	19163300..19622269
693	A09	27403533..27751975	-	C03	52269279..52939413
694	A09	9070132..9539186	-	C03	29404190..30958019
695	A09	30939500..31382653	-	C03	51577727..52251920
696	A09	15470608..15993424	-	C03	28270672..29651734
697	A09	21046628..21542000	-	C03	43131775..43835034
698	A09	29932349..30512082	-	C03	48355649..49423692
699	A09	1347830..1619252	-	C03	33950815..36299190
908	A09	12250169..14575172	+	C04	34509..3935188
909	A09	13179624..14472702	+	C04	39453447..40858375
910	A09	14393486..14836280	+	C04	14365044..15221982
911	A09	10363014..11093137	+	C04	3917811..5358645
912	A09	10284578..11183378	+	C04	36466488..37499835
913	A09	11617294..12253370	+	C04	38057067..38673847
914	A09	12270082..12793029	+	C04	38913855..39428485
915	A09	4872322..5135897	+	C04	29245931..29679603
916	A09	33682621..34782443	+	C04	20698366..21423286
917	A09	33625351..34784802	+	C04	35483488..35924667
923	A09	11625941..12575344	-	C04	21916455..23737811
924	A09	12543831..13419898	-	C04	8470673..10010034
925	A09	10088049..10785356	-	C04	7093486..8593569
926	A09	1175153..1329794	-	C04	16927595..18124972
930	A09	1169890..1359703	-	C04	32676724..33281880
1108	A09	1175153..1754984	+	C05	2312324..3331138
1109	A09	4146452..4572882	+	C05	13735892..14968809
1110	A09	20114747..20292420	+	C05	17650126..18059222
1111	A09	3728641..3966665	+	C05	3356198..3871523
1112	A09	5465524..5782360	+	C05	12402..359334
1121	A09	6825..1073441	-	C05	1002..2291149
1122	A09	2431805..3214213	-	C05	5034477..7048613
1123	A09	33863028..34697836	-	C05	10804885..12301290
1124	A09	24121347..25005418	-	C05	9140497..10794934
1125	A09	1777452..2077156	-	C05	25518352..26276845
1126	A09	5792893..6491790	-	C05	274190..838557
1127	A09	24204545..24721879	-	C05	12355730..13786129
1128	A09	3319527..3500581	-	C05	3962888..4241533
1347	A09	21495357..22436260	+	C07	16012970..17219235
1348	A09	33625351..34380807	+	C07	17304914..18389706
1349	A09	9754142..10434121	+	C07	37660530..38071753
1350	A09	3020994..3362580	+	C07	29876952..30989947
1351	A09	34807195..35080044	+	C07	10138394..10786276
1352	A09	15562020..15993424	+	C07	11492537..14158415
1353	A09	16406650..16577759	+	C07	7027182..8518335
1354	A09	29069214..30023136	+	C07	38893500..39414838
1355	A09	15456915..15614651	+	C07	10138394..11221314
1357	A09	18799880..19358210	+	C07	37397440..37724698
1371	A09	19299139..20745241	-	C07	22319684..24221646
1372	A09	29165490..30325506	-	C07	27310921..29471524
1373	A09	7725142..8129994	-	C07	35067783..36145232
1374	A09	27867810..28733000	-	C07	30243097..32091658
1375	A09	6919936..7371905	-	C07	33965676..35286560
1376	A09	6365277..6751074	-	C07	32541733..34098976
1377	A09	9535603..9846111	-	C07	660890..1690268
1378	A09	20874104..21514040	-	C07	20489907..21791253
1379	A09	8782283..8985771	-	C07	36834487..37439033
1380	A09	14893952..15555066	-	C07	45881959..46569669
1381	A09	4910426..5211359	-	C07	48057308..48289780
1382	A09	15466454..15844691	-	C07	47041038..47408657
1383	A09	28869840..29159227	-	C07	29557424..29915889
1384	A09	4570337..4714377	-	C07	7226852..8055363
1385	A09	19022150..19361782	-	C07	1197500..1747316
1386	A09	31926831..32367237	-	C07	8443998..10100569
1387	A09	32022412..32792028	-	C07	42294492..43067676
1388	A09	25756269..26249494	-	C07	41381270..41887750
1389	A09	18489060..18725445	-	C07	10404912..11801307
1390	A09	25893954..26277958	-	C07	24265366..25262627
1392	A09	17155548..17920104	-	C07	42842768..43444475
1603	A09	13101380..13920789	+	C06	26903207..28134287
1604	A09	13988368..14836280	+	C06	15585103..16868810
1605	A09	19597984..20394745	+	C06	4201241..5223016
1606	A09	8326066..8577147	+	C06	16946862..17927816
1607	A09	10781750..11184546	+	C06	15459907..16067330
1613	A09	11202032..11808244	-	C06	28991760..29924973
1614	A09	3929405..4572882	-	C06	32363735..34243213
1615	A09	2463329..2864531	-	C06	30202821..31308146
1616	A09	2463329..2746972	-	C06	47325..759450
1617	A09	12867616..13111238	-	C06	28665986..29122535
1618	A09	4332997..4541012	-	C06	2767960..3191217
1831	A09	10065156..15472209	+	C08	27373536..34472409
1832	A09	2431805..3966665	+	C08	36906720..38791057
1833	A09	46974..1157517	+	C08	40113289..41476458
1834	A09	18799880..19329668	+	C08	26338160..27362354
1835	A09	4062401..4532946	+	C08	20514042..21266945
1836	A09	69938..613733	+	C08	1922202..3040620
1837	A09	31840610..32041135	+	C08	35182743..35444968
1838	A09	1797368..2139715	+	C08	17482713..18286435
1839	A09	2045293..2216917	+	C08	38928810..39231776
1840	A09	1597513..1754984	+	C08	16527338..17222475
1841	A09	30492859..31463777	+	C08	39321737..39975121
1852	A09	3964911..5296599	-	C08	35446303..36957712
1853	A09	1347830..2092640	-	C08	39238707..40235174
1854	A09	2440918..3966665	-	C08	18355656..19966134
1855	A09	7206614..7830755	-	C08	34086893..35195467
1856	A09	1175153..1595824	-	C08	1162993..1844733
1857	A09	2240419..2425958	-	C08	38818391..39098816
1858	A09	20009759..20644400	-	C08	22369977..23078853
1859	A09	9287101..9483066	-	C08	11789..451529
1860	A09	17912014..18346326	-	C08	34829730..35195467
1862	A09	31150957..31708720	-	C08	17025073..17574194
2045	A09	9495578..10031613	+	C09	4799202..5866942
2046	A09	5320693..5782360	+	C09	17122..547605
2047	A09	8751578..8985771	+	C09	3639352..4066558
2048	A09	7722370..7951360	+	C09	4434047..5026702
2049	A09	26816500..27453657	+	C09	33830524..34969803
2050	A09	25904734..26319497	+	C09	6447549..7287126
2057	A09	6772372..7415554	-	C09	2211386..3112657
2058	A09	28783834..30559997	-	C09	7008237..9980045
2059	A09	32509649..33588598	-	C09	11231312..12867288
2060	A09	5721051..6385860	-	C09	576097..1420517
2061	A09	7722370..8314838	-	C09	3125539..3940459
2062	A09	6332889..6755268	-	C09	1903988..2445219
2063	A09	27867810..28561850	-	C09	9989134..11159595
2064	A09	22647828..22918239	-	C09	13737290..14284392
2065	A09	15897901..15993424	-	C09	6249750..6419047
2066	A09	7801887..7993657	-	C09	36133898..36820456
198	A10	9475493..11621884	+	C01	11854750..14004199
199	A10	4330802..4888598	+	C01	37419658..37771661
200	A10	6656108..6825021	+	C01	33443792..33811462
201	A10	3700698..4064885	+	C01	36954300..37283681
205	A10	2478744..2985115	-	C01	36102369..36903356
206	A10	5663218..6238427	-	C01	1523233..1879018
208	A10	4866734..5488988	-	C01	1912807..2356873
380	A10	6145708..10195845	+	C02	4322905..10141266
381	A10	2414874..3693243	+	C02	1725431..2631416
382	A10	10530277..11395766	+	C02	10097686..11309924
386	A10	10299..881157	-	C02	3260082..4171696
387	A10	1680634..2370845	-	C02	2634085..3252702
388	A10	3696620..4392222	-	C02	1034730..1709877
389	A10	3011688..3326038	-	C02	2097545..2296157
390	A10	4488108..4779201	-	C02	86878..368893
710	A10	5981599..12607476	+	C03	3384356..7484156
711	A10	2400264..3680955	+	C03	767150..1781501
712	A10	5632817..6248193	+	C03	28724136..29374389
713	A10	8012747..8881908	+	C03	34027832..36299190
714	A10	4796831..5299243	+	C03	28192081..28858052
719	A10	10299..1528392	-	C03	1982512..3407547
720	A10	3696620..4669379	-	C03	805..763338
721	A10	18557434..19279665	-	C03	36522656..37365590
722	A10	13375706..13865706	-	C03	17961497..18995915
723	A10	2134656..2370845	-	C03	1788310..1971716
724	A10	452697..934718	-	C03	19743543..20061086
725	A10	3025068..3253844	-	C03	1242098..1419068
726	A10	10210566..10634612	-	C03	55100191..55681997
727	A10	12950191..13419552	-	C03	19058689..19618454
728	A10	3441268..3680955	-	C03	30626681..31505948
947	A10	17181276..17581379	-	C04	32564542..33443256
948	A10	16280126..16485755	-	C04	19003949..19387883
949	A10	16821039..17328952	-	C04	17815647..18845228
1136	A10	15677577..17879701	+	C05	906012..2655941
1137	A10	12878723..13865706	+	C05	1002..932756
1138	A10	9687460..10301149	+	C05	4075166..5293617
1142	A10	2316765..2683954	-	C05	31463180..31882408
1143	A10	2697955..2985115	-	C05	30231981..30762141
1399	A10	1680634..2090817	+	C07	35322023..36046757
1405	A10	4796831..6248193	-	C07	11194729..14628022
1406	A10	11613097..12508076	-	C07	24947695..26226626
1407	A10	10415987..10647563	-	C07	26402915..26877199
1408	A10	15180645..15646248	-	C07	14658865..15256366
1409	A10	3114880..3336658	-	C07	37106397..37398210
1410	A10	9289494..9950587	-	C07	45245680..45977442
1629	A10	17634990..18245602	-	C06	38935457..39855664
1630	A10	5359379..6126423	-	C06	27503919..28433277
1873	A10	15715817..17879701	-	C08	1428736..2959055
1874	A10	12795068..13789600	-	C08	40813352..41476458
1875	A10	15711242..16270158	-	C08	40475328..40792439
1876	A10	16374078..16930300	-	C08	40209218..40432123
2073	A10	897866..2370845	+	C09	34943029..37404597
2074	A10	10299..911027	+	C09	32272854..33899531
2075	A10	4008088..4529865	+	C09	39273228..40098480
2076	A10	14010755..14696189	+	C09	12584291..13724761
2077	A10	13349311..13777991	+	C09	680349..1420517
2078	A10	12901960..13222716	+	C09	190050..568461
2082	A10	2316765..3693243	-	C09	37411309..39260205
2083	A10	6145708..8231502	-	C09	27967024..32004612
2084	A10	8333857..9765254	-	C09	24840204..28283433
2085	A10	10775642..11777041	-	C09	21472141..23867302
2086	A10	11693180..12636594	-	C09	19061948..21021041
2087	A10	10089517..10411637	-	C09	23931701..24905175
2088	A10	18239954..18763740	-	C09	15522045..17056869
